SectionID,Latitude,Longitude,OHEMas
DPH-DURG,21.8064,82.0317,752/19  
DPH-DURG,21.8059,82.0314,752/21  
DPH-DURG,21.8053,82.0310,752/23  
DPH-DURG,21.8048,82.0307,752/25  
DPH-DURG,21.8042,82.0303,752/27  
DPH-DURG,21.8036,82.0299,753/1   
DPH-DURG,21.8032,82.0296,753/3   
DPH-DURG,21.8028,82.0294,753/5   
DPH-DURG,21.8025,82.0291,753/7   
DPH-DURG,21.8021,82.0288,753/9   
DPH-DURG,21.8018,82.0285,753/11  
DPH-DURG,21.8015,82.0281,753/13  
DPH-DURG,21.8012,82.0278,753/15  
DPH-DURG,21.8009,82.0274,753/17  
DPH-DURG,21.8007,82.0270,753/19  
DPH-DURG,21.8004,82.0266,753/21  
DPH-DURG,21.8002,82.0262,753/23  
DPH-DURG,21.7999,82.0258,753/25  
DPH-DURG,21.7996,82.0253,753/27  
DPH-DURG,21.7992,82.0247,753/29  
DPH-DURG,21.7989,82.0241,753/31  
DPH-DURG,21.7985,82.0235,753/33  
DPH-DURG,21.7982,82.0230,753/35  
DPH-DURG,21.7978,82.0225,754/1   
DPH-DURG,21.7975,82.0219,754/3   
DPH-DURG,21.7971,82.0213,754/5   
DPH-DURG,21.7967,82.0207,754/7   
DPH-DURG,21.7964,82.0201,754/9   
DPH-DURG,21.7960,82.0196,754/11  
DPH-DURG,21.7957,82.0190,754/13  
DPH-DURG,21.7953,82.0184,754/15  
DPH-DURG,21.7949,82.0178,754/17  
DPH-DURG,21.7946,82.0173,754/19  
DPH-DURG,21.7942,82.0167,754/21  
DPH-DURG,21.7939,82.0161,754/23  
DPH-DURG,21.7935,82.0155,754/25  
DPH-DURG,21.7932,82.0150,754/27  
DPH-DURG,21.7928,82.0145,755/1   
DPH-DURG,21.7925,82.0139,755/3   
DPH-DURG,21.7921,82.0133,755/5   
DPH-DURG,21.7917,82.0127,755/7   
DPH-DURG,21.7914,82.0121,755/9   
DPH-DURG,21.7910,82.0115,755/11  
DPH-DURG,21.7907,82.0110,755/13  
DPH-DURG,21.7903,82.0104,755/15  
DPH-DURG,21.7900,82.0098,755/17  
DPH-DURG,21.7896,82.0092,755/19  
DPH-DURG,21.7892,82.0086,755/21  
DPH-DURG,21.7889,82.0081,755/23  
DPH-DURG,21.7885,82.0075,755/25  
DPH-DURG,21.7882,82.0069,755/27  
DPH-DURG,21.7878,82.0064,756/1   
DPH-DURG,21.7875,82.0058,756/3   
DPH-DURG,21.7871,82.0053,756/5   
DPH-DURG,21.7868,82.0047,756/7   
DPH-DURG,21.7864,82.0041,756/9   
DPH-DURG,21.7860,82.0035,756/11  
DPH-DURG,21.7857,82.0029,756/13  
DPH-DURG,21.7853,82.0023,756/15  
DPH-DURG,21.7849,82.0018,756/17  
DPH-DURG,21.7847,82.0014,756/19  
DPH-DURG,21.7845,82.0011,756/21  
DPH-DURG,21.7842,82.0006,756/23  
DPH-DURG,21.7840,82.0004,756/25  
DPH-DURG,21.7838,81.9999,757/27  
DPH-DURG,21.7835,81.9995,756/29  
DPH-DURG,21.7831,81.9989,756/31  
DPH-DURG,21.7828,81.9984,757/1   
DPH-DURG,21.7824,81.9978,757/3   
DPH-DURG,21.7821,81.9972,757/5   
DPH-DURG,21.7817,81.9966,757/7   
DPH-DURG,21.7814,81.9961,757/9   
DPH-DURG,21.7811,81.9956,757/11  
DPH-DURG,21.7807,81.9950,757/13  
