SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
DURG-BPTP,18.9682,81.31613667,302,984/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.9308,81.31551333,303,984/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.8939,81.31489833,297,984/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.8587,81.31431167,297,984/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.825,81.31375,294,984/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.7877,81.31312833,295,984/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.7508,81.31251333,294,984/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.723,81.31205,297,984/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.6928,81.31154667,297,984/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.6566,81.31094333,296,984/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.6245,81.31040833,297,985/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.5999,81.30999833,295,985/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.5754,81.30959,295,985/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.5507,81.30917833,299,985/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.5299,81.30883167,298,985/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.5076,81.30846,295,985/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.4851,81.308085,294,985/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.4621,81.30770167,297,985/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.4297,81.30716167,292,985/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.3996,81.30666,291,985/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.3628,81.30604667,291,985/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.3286,81.30547667,290,985/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.2933,81.30488833,292,985/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.2607,81.304345,289,985/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.2266,81.30377667,289,985/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.1954,81.30325667,289,985/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.168,81.3028,291,985/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.1474,81.30245667,292,985/18  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.1161,81.301935,295,986/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.0881,81.30146833,293,986/2A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.0598,81.30099667,295,986/3A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,18.0243,81.300405,293,986/4A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.9895,81.299825,292,986/5A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.9533,81.29922167,292,986/6A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.9212,81.29868667,293,986/7A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.8864,81.29810667,290,986/8A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.8521,81.297535,293,986/9A  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.8201,81.29700167,295,986/10A ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.7867,81.296445,291,986/11A ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.7592,81.29598667,294,986/12A ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.724,81.2954,296,986/13A ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.6887,81.29481167,292,986/14A ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,17.6539,81.29423167,298,986/15A ,,,,RAIPUR,,10,10/04/2024
BPTG-Antagarh,20.29487333,81.06523667,312,986/14A ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.29428333,81.06542,313,986/15A ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.29377833,81.06556667,312,986/16A ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.29344333,81.06567,305,987/1A  ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.293155,81.06576,303,987/2   ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.29273333,81.065875,302,987/3   ,,,,RAIPUR,,10,02/09/2024
BPTG-Antagarh,20.29243167,81.06597167,299,987/4   ,,,,RAIPUR,,10,02/09/2024
